generated_id,n_nodes,n_edges,chromatic_number,edge_list,adjacency_upper_triangular
175,15,75,9,0-3;0-4;0-6;0-7;0-8;0-9;0-10;0-11;0-12;0-13;1-3;1-4;1-6;1-7;1-9;1-10;1-11;1-13;2-6;2-7;2-8;2-9;2-10;2-11;2-13;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-12;3-13;4-6;4-7;4-8;4-9;4-10;4-11;4-12;4-13;5-6;5-7;5-9;5-11;5-12;5-13;6-7;6-8;6-9;6-10;6-11;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-10;8-12;8-13;9-10;9-11;9-12;9-13;10-11;10-13;11-12;11-13;12-13;12-14,"0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0"
186,13,64,9,0-1;0-2;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;0-12;1-2;1-3;1-4;1-5;1-6;1-9;1-10;1-11;1-12;2-3;2-4;2-5;2-6;2-8;2-9;2-10;2-11;2-12;3-4;3-5;3-6;3-8;3-9;3-10;3-11;3-12;4-5;4-7;4-8;4-9;4-10;4-11;4-12;5-7;5-8;5-9;5-10;5-11;5-12;6-9;6-11;6-12;7-9;8-9;8-10;8-11;8-12;9-10;9-11;9-12;10-11;10-12;11-12,"1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
188,14,62,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-9;0-10;1-2;1-3;1-5;1-6;1-7;1-8;1-9;1-10;1-12;2-3;2-4;2-5;2-6;2-7;2-9;2-10;2-12;2-13;3-4;3-5;3-6;3-7;3-9;3-10;3-13;4-5;4-6;4-9;4-10;4-13;5-6;5-7;5-8;5-9;5-10;5-12;6-7;6-8;6-9;6-10;6-12;7-8;7-9;7-10;7-11;7-12;8-10;8-12;9-10;9-11;9-12;9-13;10-12,"1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
195,15,76,9,0-2;0-7;0-8;0-9;0-10;0-11;0-12;0-13;1-2;1-3;1-4;1-6;1-7;1-9;1-10;1-11;1-12;1-13;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;2-12;2-13;3-4;3-5;3-6;3-7;3-8;3-10;3-11;3-12;3-13;4-5;4-6;4-7;4-10;4-11;4-12;4-13;5-7;5-8;5-9;5-10;5-11;5-12;5-13;6-7;6-11;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-10;8-11;8-12;8-13;9-10;9-11;9-12;10-11;10-12;10-13;11-12;11-13;12-13;12-14,"0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0"
201,13,65,9,0-1;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;0-12;1-2;1-3;1-5;1-7;1-8;1-9;1-10;1-11;1-12;2-4;2-5;2-6;2-7;2-8;2-9;2-12;3-5;3-6;3-8;3-9;3-10;3-11;3-12;4-5;4-6;4-8;4-9;4-10;4-12;5-6;5-7;5-8;5-9;5-10;5-11;5-12;6-8;6-9;6-10;6-12;7-9;7-10;7-11;7-12;8-9;8-10;8-11;8-12;9-10;9-11;9-12;10-11;10-12;11-12,"1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
211,15,73,9,0-3;0-4;0-6;0-7;0-8;0-9;0-10;0-11;0-12;0-13;1-2;1-3;1-5;1-6;1-7;1-9;1-10;1-11;1-12;1-13;2-3;2-6;2-7;2-8;2-9;2-10;2-12;2-13;3-4;3-6;3-7;3-8;3-9;3-10;3-12;3-13;4-6;4-7;4-8;4-9;4-10;4-11;4-12;4-13;5-9;5-13;6-7;6-8;6-9;6-10;6-11;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-10;8-11;8-13;9-10;9-11;9-12;9-13;10-11;10-13;11-12;11-13;12-13;12-14,"0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0"
212,15,73,9,0-1;0-2;0-5;0-8;0-9;0-10;0-11;0-12;1-2;1-4;1-6;1-7;1-9;1-10;1-11;1-12;1-13;2-4;2-5;2-6;2-7;2-8;2-10;2-11;2-12;2-13;3-5;3-6;3-7;3-8;3-10;3-11;3-12;4-6;4-7;4-10;4-11;4-12;4-13;5-7;5-8;5-9;5-10;5-11;5-12;5-13;6-7;6-10;6-11;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-10;8-11;8-12;8-13;9-10;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13;12-14,"1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0"
216,14,76,9,0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-10;0-11;0-12;0-13;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-12;1-13;2-3;2-4;2-5;2-7;2-10;2-11;2-12;2-13;3-4;3-5;3-6;3-7;3-8;3-11;3-12;3-13;4-5;4-6;4-7;4-8;4-10;4-11;4-12;4-13;5-6;5-7;5-8;5-9;5-10;5-11;5-12;5-13;6-7;6-8;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-11;8-12;8-13;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13,"0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0"
226,14,72,9,0-2;0-3;0-5;0-8;0-10;0-11;1-2;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;1-13;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;2-12;2-13;3-5;3-6;3-8;3-9;3-10;3-11;3-13;4-6;4-7;4-8;4-10;4-11;4-12;4-13;5-7;5-8;5-9;5-10;5-11;5-12;5-13;6-7;6-8;6-10;6-12;7-8;7-10;7-11;7-12;7-13;8-9;8-10;8-11;8-12;8-13;9-10;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13,"0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0"
235,13,69,9,0-1;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;0-12;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;2-4;2-5;2-6;2-7;2-8;2-9;2-11;2-12;3-5;3-6;3-7;3-8;3-9;3-10;3-11;3-12;4-5;4-7;4-8;4-9;4-10;4-12;5-6;5-7;5-8;5-9;5-10;5-11;5-12;6-8;6-9;6-10;6-12;7-9;7-10;7-11;7-12;8-9;8-10;8-11;8-12;9-10;9-11;9-12;10-11;10-12;11-12,"1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
244,14,65,9,0-1;0-3;0-4;0-5;0-6;0-7;0-9;0-10;0-12;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;1-13;2-5;2-6;2-7;2-8;3-4;3-5;3-6;3-7;3-9;3-10;3-12;3-13;4-5;4-6;4-9;4-10;4-13;5-6;5-7;5-8;5-9;5-10;5-12;5-13;6-7;6-9;6-10;6-12;7-9;7-10;7-11;7-12;8-9;8-10;8-12;9-10;9-11;9-12;9-13;10-11;10-12;11-12;11-13;12-13,"1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0"
258,12,55,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-10;1-2;1-3;1-5;1-6;1-7;1-8;1-9;1-10;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;3-4;3-5;3-6;3-7;3-8;3-9;3-10;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;6-7;6-8;6-9;6-10;7-8;7-9;7-10;7-11;8-9;8-10;8-11;9-10,"1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
260,14,75,9,0-1;0-3;0-4;0-5;0-6;0-7;0-9;0-10;0-11;0-12;0-13;1-2;1-3;1-4;1-5;1-6;1-7;1-9;1-10;1-11;1-13;2-3;2-7;2-8;2-9;2-10;2-13;3-4;3-6;3-7;3-9;3-10;3-12;3-13;4-6;4-7;4-8;4-9;4-10;4-11;4-12;4-13;5-6;5-7;5-9;5-10;5-11;5-12;5-13;6-7;6-8;6-9;6-10;6-11;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-10;8-12;8-13;9-10;9-11;9-12;9-13;10-11;10-13;11-12;11-13;12-13,"1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0"
261,14,72,9,0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;0-11;0-12;0-13;1-3;1-4;1-5;1-8;1-9;1-13;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;2-12;2-13;3-4;3-5;3-7;3-8;3-9;3-11;3-12;3-13;4-5;4-6;4-7;4-8;4-9;4-11;4-12;4-13;5-8;5-9;5-11;5-12;5-13;6-7;6-8;6-9;6-10;6-11;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-11;8-13;9-11;9-13;10-11;10-13;11-12;11-13;12-13,"0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0"
263,14,73,9,0-2;0-3;0-5;0-7;0-8;0-10;0-11;0-12;1-2;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;1-13;2-3;2-4;2-5;2-6;2-7;2-10;2-11;2-12;2-13;3-5;3-6;3-7;3-8;3-11;3-12;3-13;4-5;4-6;4-7;4-8;4-10;4-11;4-12;4-13;5-7;5-8;5-9;5-10;5-11;5-12;5-13;6-7;6-8;6-12;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-10;8-11;8-12;8-13;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13,"0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0"
267,13,64,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-9;0-10;0-11;0-12;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-12;2-3;2-4;2-5;2-7;2-9;2-10;2-11;2-12;3-4;3-5;3-7;3-8;3-9;3-10;3-12;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-12;6-7;6-8;6-9;6-10;6-11;6-12;7-8;7-9;7-10;7-11;7-12;8-12;9-10;9-12;10-11,"1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
274,15,72,9,0-2;0-5;0-8;0-10;0-11;0-13;1-2;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;1-13;2-3;2-4;2-5;2-6;2-7;2-10;2-11;2-12;2-13;3-5;3-6;3-7;3-8;3-10;3-11;3-13;4-6;4-7;4-10;4-11;4-12;4-13;5-7;5-8;5-9;5-10;5-11;5-12;5-13;6-7;6-10;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-10;8-11;8-12;8-13;9-10;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13;12-14,"0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0"
285,13,63,9,0-5;0-6;0-7;0-8;0-10;1-2;1-3;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;2-12;3-4;3-5;3-6;3-8;3-9;3-10;3-11;3-12;4-5;4-6;4-7;4-8;4-9;4-10;4-12;5-6;5-7;5-8;5-9;5-10;5-11;5-12;6-8;6-9;6-10;6-12;7-9;7-10;7-11;8-9;8-10;8-11;8-12;9-10;9-11;9-12;10-12;11-12,"0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
288,15,71,9,0-2;0-5;0-8;0-10;0-11;1-2;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;1-13;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;2-12;2-13;3-5;3-6;3-8;3-10;3-11;3-13;4-6;4-7;4-8;4-10;4-11;4-12;4-13;5-7;5-8;5-9;5-10;5-11;5-12;5-13;6-7;6-8;6-10;6-12;7-8;7-10;7-11;7-12;7-13;8-9;8-10;8-11;8-12;8-13;9-10;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13;12-14,"0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0"
